Brand,Model,Year Made,Imported Year,Price,Odometer,Мотор багтаамж,Хурдны хайрцаг,Хүрд,Төрөл,Өнгө,Үйлдвэрлэсэн он,Орж ирсэн он,Хөдөлгүүр,Дотор өнгө,Лизинг,Хөтлөгч,Нөхцөл,Хаалга
Toyota,Alphard,2014,2024,5 сая ₮,110,3.5 л,Автомат,Буруу,Гэр бүлийн,Ягаан,2014,2024,Бензин,Цагаан шар,Банкны лизингтэй,Урдаа FWD,Дугаар аваагүй,5
Toyota,Prius 30,2010,2018,8 сая ₮,196000,1.8 л,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2010,2018,Хайбрид,Бусад,гүй,Урдаа FWD,Дугаар авсан,5
Toyota,Prius 30,2011,2018,6 сая ₮,111111,1.8 л,Автомат,Буруу,Суудлын тэрэг,Хар саарал,2011,2018,Хайбрид,Бусад,гүй,Урдаа FWD,Дугаар авсан,5
Toyota,Prius 41,2013,2023,28 сая ₮,160000,1.8 л,Автомат,Буруу,Гэр бүлийн,Хар саарал,2013,2023,Хайбрид,Хар,гүй,Урдаа FWD,Дугаар авсан,4
Lexus,RX,2006,2013,23 сая ₮,1240000,3.3 л,Автомат,Буруу,Жийп,Саарал,2006,2013,Хайбрид,Шаргал,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Lexus,RX,2011,2019,51 сая ₮,175000,3.5 л,Автомат,Буруу,Жийп,Цагаан,2011,2019,Хайбрид,Хар,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,Prius 30,2010,2018,5 сая ₮,100000,1.7 л,Автомат,Буруу,Суудлын тэрэг,Цайвар цэнхэр,2010,2018,Хайбрид,Саарал,гүй,Урдаа FWD,Дугаар авсан,4
Toyota,Highlander,2012,2021,5 сая ₮,1500000,2.7 л,Автомат,Зөв,Жийп,Хар,2012,2021,Бензин,Хар,гүй,Урдаа FWD,Дугаар авсан,5
Subaru,Forester,2006,2014,9 сая ₮,169000,2.1 л,Автомат,Буруу,Жийп,Улаан,2006,2014,Бензин,Бусад,гүй,Урдаа FWD,Дугаар авсан,5
Toyota,Aqua,2012,2021,5 сая ₮,999999,1.6 л,Автомат,Буруу,Суудлын тэрэг,Саарал,2012,2021,Хайбрид,Бусад,гүй,Урдаа FWD,Дугаар авсан,4
Toyota,Prius 20,2003,2020,5 сая ₮,10000000,1.8 л,Автомат,Буруу,Суудлын тэрэг,Бусад,2003,2020,Хайбрид,Шаргал,гүй,Урдаа FWD,Дугаар авсан,5
Toyota,Prius 30,2009,2023,22 сая ₮,150000,2.8 л,Автомат,Буруу,Суудлын тэрэг,Цайвар цэнхэр,2009,2023,Хайбрид,Хар,гүй,Урдаа FWD,Дугаар авсан,5
